Thématiques 2628,Numéro de dépôt,Public concerné,Contexte,Format (ANDPC),Typologie de formation,Type d'EPP,Durée totale,Prise en charge,Indemnités PS,Formateur(s),ODPC,Commercialisation,U1 - Typologie,U1 - Format,U1 - Nb d'heure(s) total,U2 - Typologie,U2 - Format,U2 - Nb d'heure(s) total,U3 - Typologie,U3 - Format,U3 - Nb d'heure(s) total,Fiche mémo pdf
Radioprotection du patient en chirurgie dentaire (https://www.notion.so/Radioprotection-du-patient-en-chirurgie-dentaire-1f81e0168e7080939896e6443be7e662?pvs=21),94632525413,Chirurgie dentaire (omnipraticiens) (https://www.notion.so/Chirurgie-dentaire-omnipraticiens-c26f7078b2e0496c90e124ca9bad7436?pvs=21),"La radioprotection en chirurgie dentaire constitue une priorité de santé publique, compte tenu de l’usage fréquent de la radiographie dans le diagnostic et la planification des soins dentaires. En France, le cadre réglementaire évolue pour intégrer les dernières recommandations européennes (directive 2013/59/Euratom), et la Haute Autorité de Santé encourage l'adoption des bonnes pratiques d'exposition, en cohérence avec les principes ALARA et ALADA. Le recours croissant à l'imagerie 3D, notamment à la tomographie volumique à faisceau conique (CBCT), implique une maîtrise renforcée des paramètres techniques, des dispositifs de contrôle qualité, et de l'évaluation systématique des indications. Cette formation a pour ambition de renforcer la culture de sécurité des soins en chirurgie dentaire en soutenant les professionnels dans une démarche proactive de maîtrise des risques liés aux rayonnements ionisants, en cohérence avec les exigences réglementaires du Code de la santé publique et du Code du travail.",E-learning,PI,AC,9,"343,20 €","154,00 €",Mohammed DAHBOUNE (https://www.notion.so/Mohammed-DAHBOUNE-1f81e0168e7080ceaae8ee56aaf472b8?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,2,Evaluation des pratiques professionnelles,Non présentiel,3,
"CBCT pour chirurgiens-dentistes : maîtriser l’indication, l’analyse et la réglementation du Cone Beam (https://www.notion.so/CBCT-pour-chirurgiens-dentistes-ma-triser-l-indication-l-analyse-et-la-r-glementation-du-Cone-Bea-1f81e0168e7080f4a484ce20e8dd4e07?pvs=21)",94632525414,Chirurgie dentaire (omnipraticiens) (https://www.notion.so/Chirurgie-dentaire-omnipraticiens-c26f7078b2e0496c90e124ca9bad7436?pvs=21),"La tomographie volumique à faisceau conique (CBCT), ou Cone Beam, constitue une avancée technologique majeure dans le domaine de l’imagerie dentaire. Elle permet des explorations radiographiques tridimensionnelles précises avec une dose d’irradiation réduite par rapport au scanner. Cette technologie, désormais accessible aux cabinets dentaires, s'intègre dans une dentisterie numérique en pleine expansion. Toutefois, son utilisation requiert des compétences spécifiques, tant sur le plan technique que réglementaire. Une mauvaise indication ou une mauvaise interprétation peuvent entraîner des conséquences diagnostiques et thérapeutiques lourdes, voire engager la responsabilité du praticien. 
Dans ce contexte, former les chirurgiens-dentistes à une utilisation raisonnée, réglementaire et efficiente du CBCT est devenu indispensable, tant pour répondre aux exigences de qualité des soins que pour garantir la sécurité des patients.",E-learning,PI,AC,9,"303,60 €","132,00 €",Mohammed DAHBOUNE (https://www.notion.so/Mohammed-DAHBOUNE-1f81e0168e7080ceaae8ee56aaf472b8?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,2,Evaluation des pratiques professionnelles,Non présentiel,2,
Prise en charge des infections oculaires (https://www.notion.so/Prise-en-charge-des-infections-oculaires-1fa1e0168e7080e9a614eaf6fa1df023?pvs=21),94632525379,Ophtalmologie (https://www.notion.so/Ophtalmologie-9c7c61a4ec3048f39667de6a90abd6ae?pvs=21),"Les infections oculaires constituent un problème de santé publique en raison de leur fréquence et des complications qu’elles peuvent engendrer. Sur le plan épidémiologique, les conjonctivites infectieuses représentent une part significative des consultations ophtalmologiques, avec une prévalence estimée à plusieurs millions de cas par an dans le monde. Les kératites infectieuses, bien que moins fréquentes, sont responsables de 1,5 à 2 millions de cas de cécité chaque année, selon les données de l’Organisation mondiale de la santé (OMS). Ces chiffres mettent en lumière l'importance d'une prise en charge précoce et adaptée, particulièrement dans les pays où l'accès aux soins est limité et où les facteurs de risque, tels que l’usage inadéquat de lentilles de contact ou les traumatismes oculaires, sont plus fréquents.
Dans ce contexte, la lutte contre les infections oculaires s’inscrit également dans une stratégie mondiale de maîtrise de l’antibiorésistance, enjeu prioritaire de santé publique. L’usage inapproprié ou excessif des antibiotiques dans le traitement des pathologies oculaires, notamment les conjonctivites et les kératites, contribue à l’émergence de souches résistantes. Par exemple, des résistances préoccupantes à des antibiotiques couramment utilisés en ophtalmologie, comme les fluoroquinolones, ont été rapportées. Ainsi, une approche diagnostique rigoureuse est indispensable pour limiter l’emploi injustifié d’antibiotiques et favoriser l’adhésion aux recommandations nationales et internationales sur le bon usage de ces traitements.
L’importance d’une formation solide et actualisée pour les professionnels de santé, en particulier les ophtalmologues, est cruciale dans ce domaine. La diversité des agents pathogènes (bactéries, virus, champignons, parasites), les différences dans les mécanismes physiopathologiques et les spécificités thérapeutiques rendent indispensable une mise à jour régulière de ses connaissances. Une formation approfondie permet non seulement de maîtriser les approches diagnostiques avancées, comme les prélèvements microbiologiques et l’imagerie multimodale, mais aussi d’intégrer les dernières innovations thérapeutiques.
Par ailleurs, la dimension éducative auprès des patients ne peut être négligée. Un ophtalmologue formé et informé est mieux armé pour sensibiliser les patients aux bonnes pratiques d’hygiène, notamment pour les porteurs de lentilles ou après une chirurgie oculaire, réduisant ainsi les risques de complications infectieuses.
Cette formation vise à répondre à ces exigences pour garantir une pratique clinique de qualité et prévenir les complications graves, tout en s’inscrivant dans une démarche de santé publique responsable et conforme aux enjeux contemporains.",E-learning,PI,AC,11,"589,00 €","157,50 €",Hugo LAMA (https://www.notion.so/Hugo-LAMA-1531e0168e7080c696ecd5ec265befa4?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Les soins palliatifs : une démarche au coeur du soin (https://www.notion.so/Les-soins-palliatifs-une-d-marche-au-coeur-du-soin-1fc1e0168e70800f846cf4c13b967329?pvs=21),94632425248,Infirmier Diplômé d'Etat (IDE) (https://www.notion.so/Infirmier-Dipl-m-d-Etat-IDE-1f6423a8bfbf482d8317276a73305e84?pvs=21),"En France, seuls un tiers des patients ayant besoin de soins palliatifs y ont accès (SFAP). 26 départements français sont toujours dépourvus d'unités de soins palliatifs. Plus que jamais, il est essentiel pour l'infirmier, libéral comme à l'hôpital, de s'approprier la démarche palliative.
L’OMS définit les Soins Palliatifs comme les « Soins actifs et complets donnés aux malades dont l’affection ne répond plus au traitement curatif ».
Afin de préserver la meilleure qualité de vie possible au patient jusqu'au décès, cette action de formation propose d’accompagner et d’améliorer les pratiques professionnelles en donnant les clefs de la démarche palliative. 
L’objectif est d’améliorer les connaissances sur les droits en faveur des personnes malades et des personnes en fin de vie, de mieux anticiper les besoins de prise en charge palliative.
Il s’agit donc, dans cette formation, d’actualiser et de renforcer les connaissances et compétences en matière de soins palliatifs, afin d’aider les professionnels à développer et s’approprier des compétences et des bonnes pratiques dans ce champ.",E-learning,EPP,AC,7,"239,40 €","133,00 €",Delphine DESPREZ (https://www.notion.so/Delphine-DESPREZ-c8b25ce1a82842bf94c61eb72638472b?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,,,0,
Prise en charge de l’incontinence urinaire féminine et du prolapsus (https://www.notion.so/Prise-en-charge-de-l-incontinence-urinaire-f-minine-et-du-prolapsus-1fc1e0168e7080a1917bdcaee825c78e?pvs=21),94632425368,"Gynécologie médicale (https://www.notion.so/Gyn-cologie-m-dicale-c82b31844562493f997f6ba6d2f765a6?pvs=21), Gynécologie obstétrique (https://www.notion.so/Gyn-cologie-obst-trique-2251e0168e7080c4ba59fd0ee4c00bd5?pvs=21)","L’incontinence urinaire et les prolapsus génitaux constituent deux des principaux troubles pelvi-périnéaux rencontrés chez les femmes, avec des implications importantes sur leur santé, leur qualité de vie et les systèmes de santé publique. L’incontinence urinaire, définie comme toute fuite involontaire d’urine, touche entre 25 % et 45 % des femmes dans la population générale et voit sa prévalence augmenter jusqu’à environ 65 ans. Ses formes principales incluent l’incontinence à l’effort, l’incontinence par urgenturie, et l’incontinence mixte. Bien qu’elle soient bénignes, elles engendrent un facteur de coût économique et social considérable. Parmi les facteurs de risque bien établis, le surpoids se distingue comme modifiable : une perte pondérale permettrait de réduire jusqu’à 50 % des épisodes d’incontinence.
Les prolapsus génitaux, souvent associés à l’incontinence urinaire, concernent une proportion significative de femmes selon les méthodes d’évaluation : entre 2,9 % et 97,7 % selon qu’ils sont identifiés par un questionnaire ou par un examen clinique normalisé, tel que la classification Pelvic Organ Prolapse Quantification (POPQ). Leur prévalence augmente jusqu’à 50 ans et leur sévérité progresse après la ménopause, bien que la prévalence globale reste stable. Ces troubles touchent particulièrement les femmes âgées, avec une incidence cumulative des chirurgies de prolapsus de 11 % au-delà de 70 ans. En raison de l’amélioration de l’espérance de vie et des attentes croissantes des patientes en matière de soins, les prolapsus constituent un problème de santé publique émergent.
Face à ces enjeux, les professionnels de santé doivent être formés pour identifier précocement ces pathologies, notamment aux stades avancés symptomatiques nécessitant une intervention chirurgicale. Cette formation vise à transmettre les compétences nécessaires pour une prise en charge fondée sur des recommandations actualisées et intégrant une médecine préventive basée sur l’identification des facteurs de risque. Par ailleurs, elle mettra l'accent sur la réduction des complications et l'amélioration de la qualité de vie des patientes.
Cette formation s’appuie sur des bases solides, intégrant les dernières recommandations et arrêtés réglementaires pertinents. Elle est conçue conformément aux :
1. https://www.has-sante.fr/upload/docs/application/pdf/2021-06/reco329_recommandation_prolapsus_cd_2021_05_06_lg.pdf, 2021
2. https://www.has-sante.fr/jcms/c_272291/fr/prise-en-charge-de-l-incontinence-urinaire-de-la-femme-en-medecine-generale-actualisation-2003 en médecine générale, 2003.
3. https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000042464843  encadrant la pratique des actes associés à la pose de bandelettes sous- urétrales pour le traitement chirurgical de l’incontinence urinaire d’effort chez la femmehttps://www.legifrance.gouv.fr/jorf/id/JORFTEXT00004408770 encadrant la pratique des actes associés à la pose d’implants de suspension destinés au traitement du prolapsus des organes pelviens chez la femme par voie chirurgicale haute.",E-learning,PI,AC,11,"589,00 €","157,50 €",Charles BUI (https://www.notion.so/Charles-BUI-12a1e0168e7080d38f64ea5992166f1c?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
"Obésité et grossesse : prévention, repérage & prise en charge  (https://www.notion.so/Ob-sit-et-grossesse-pr-vention-rep-rage-prise-en-charge-1fc1e0168e708003bdc2c19694dc2ce0?pvs=21)",94632425206,Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21),"L’obésité est considérée comme une épidémie dans les pays développés incitant l’organisation mondiale de la santé (OMS) à désigner cette situation comme une importante menace de santé. En France, la corpulence des femmes et hommes a nettement augmenté depuis 1981 avec une accélération depuis les années 1990 L’obésité touchant de plus en plus de femmes jeunes, la période de grossesse n’est pas épargnée. La prévalence croissante de l’obésité amène les gynécologues-obstétriciens et les sages-femmes à faire face de plus en plus fréquemment à des parturientes qui présentent une obésité. Ce problème est préoccupant car il est clairement démontré que l’obésité est un facteur indépendant de complications fœtales et maternelles au cours de cette période. Pendre en charge la patiente obèse dès avant et en cours de grossesse est capital pour améliorer la santé des mères et des nouveaux-nés. Il est, par ailleurs, reconnu aujourd’hui que cette période dite des 1000 premiers jours est une fenêtre d’opportunité pour agir.",E-learning,FC,NA (FC),11,"522,50 €","0,00 €","Philippe DERUELLE (https://www.notion.so/Philippe-DERUELLE-9c6be196476248858379cad795a9468d?pvs=21), Emilie CAUMEIL (https://www.notion.so/Emilie-CAUMEIL-59ae8421e9c1403980c6af81292f3391?pvs=21), Marie-Anne ROSSEL (https://www.notion.so/Marie-Anne-ROSSEL-99c545cf5fa44428aca3c02d108794a5?pvs=21)",GRAAD,Commercialisée,Formation Continue,Non présentiel,11,,,0,,,0,
"Obésité et grossesse : prévention, repérage & prise en charge  (https://www.notion.so/Ob-sit-et-grossesse-pr-vention-rep-rage-prise-en-charge-1fc1e0168e708003bdc2c19694dc2ce0?pvs=21)",94632425207,"Sage-Femme (https://www.notion.so/Sage-Femme-24f672ebbd6041b9960e01d720efb98b?pvs=21), Médecine cardiovasculaire (https://www.notion.so/M-decine-cardiovasculaire-1e3ff6f1b7514325ab28d32cc9400a9f?pvs=21)","L’obésité est considérée comme une épidémie dans les pays développés incitant l’organisation mondiale de la santé (OMS) à désigner cette situation comme une importante menace de santé. En France, la corpulence des femmes et hommes a nettement augmenté depuis 1981 avec une accélération depuis les années 1990 L’obésité touchant de plus en plus de femmes jeunes, la période de grossesse n’est pas épargnée. La prévalence croissante de l’obésité amène les gynécologues-obstétriciens et les sages-femmes à faire face de plus en plus fréquemment à des parturientes qui présentent une obésité. Ce problème est préoccupant car il est clairement démontré que l’obésité est un facteur indépendant de complications fœtales et maternelles au cours de cette période. Pendre en charge la patiente obèse dès avant et en cours de grossesse est capital pour améliorer la santé des mères et des nouveaux-nés. Il est, par ailleurs, reconnu aujourd’hui que cette période dite des 1000 premiers jours est une fenêtre d’opportunité pour agir.",E-learning,FC,NA (FC),9,"297,00 €","0,00 €","Emilie CAUMEIL (https://www.notion.so/Emilie-CAUMEIL-59ae8421e9c1403980c6af81292f3391?pvs=21), Philippe DERUELLE (https://www.notion.so/Philippe-DERUELLE-9c6be196476248858379cad795a9468d?pvs=21), Marie-Anne ROSSEL (https://www.notion.so/Marie-Anne-ROSSEL-99c545cf5fa44428aca3c02d108794a5?pvs=21)",GRAAD,Commercialisée,Formation Continue,Non présentiel,9,,,0,,,0,
"Obésité et grossesse : prévention, repérage & prise en charge  (https://www.notion.so/Ob-sit-et-grossesse-pr-vention-rep-rage-prise-en-charge-1fc1e0168e708003bdc2c19694dc2ce0?pvs=21)",94632425205,"Gynécologie médicale (https://www.notion.so/Gyn-cologie-m-dicale-c82b31844562493f997f6ba6d2f765a6?pvs=21), Gynécologie obstétrique (https://www.notion.so/Gyn-cologie-obst-trique-2251e0168e7080c4ba59fd0ee4c00bd5?pvs=21)","L’obésité est considérée comme une épidémie dans les pays développés incitant l’organisation mondiale de la santé (OMS) à désigner cette situation comme une importante menace de santé. En France, la corpulence des femmes et hommes a nettement augmenté depuis 1981 avec une accélération depuis les années 1990 L’obésité touchant de plus en plus de femmes jeunes, la période de grossesse n’est pas épargnée. La prévalence croissante de l’obésité amène les gynécologues-obstétriciens et les sages-femmes à faire face de plus en plus fréquemment à des parturientes qui présentent une obésité. Ce problème est préoccupant car il est clairement démontré que l’obésité est un facteur indépendant de complications fœtales et maternelles au cours de cette période. Pendre en charge la patiente obèse dès avant et en cours de grossesse est capital pour améliorer la santé des mères et des nouveaux-nés. Il est, par ailleurs, reconnu aujourd’hui que cette période dite des 1000 premiers jours est une fenêtre d’opportunité pour agir.",E-learning,FC,NA (FC),11,"522,50 €","0,00 €","Emilie CAUMEIL (https://www.notion.so/Emilie-CAUMEIL-59ae8421e9c1403980c6af81292f3391?pvs=21), Marie-Anne ROSSEL (https://www.notion.so/Marie-Anne-ROSSEL-99c545cf5fa44428aca3c02d108794a5?pvs=21), Philippe DERUELLE (https://www.notion.so/Philippe-DERUELLE-9c6be196476248858379cad795a9468d?pvs=21)",GRAAD,Commercialisée,Formation Continue,Non présentiel,11,,,0,,,0,
Maternité et addictions : repérage et accompagnement (https://www.notion.so/Maternit-et-addictions-rep-rage-et-accompagnement-1ff1e0168e7080bbb5fccd8baf2b8bb7?pvs=21),94632425170,Sage-Femme (https://www.notion.so/Sage-Femme-24f672ebbd6041b9960e01d720efb98b?pvs=21),"Le tabac (12 millions d’usagers quotidiens) et l’alcool (9 millions d’usagers réguliers) sont les substances addictives les plus massivement utilisées en population générale avec un très lourd impact en santé publique. Ils constituent en effet les deux premières causes de mortalité évitable (75 000 décès/an liés au tabac, 41 000 décès liés à l’alcool).
En complément des actions générales, des efforts particuliers doivent se porter en population spécifique et tout particulièrement envers les femmes enceintes ou ayant un projet de grossesse. La consommation d’alcool au cours de la grossesse est en effet considérée comme la première cause de handicap non génétique à la naissance (le syndrome d’alcoolisation fœtale SAF survient lors d’une naissance/1000 soit environ 800/an, le spectre pouvant concerner 1 naissance/100). L’alcool reste la substance la plus susceptible d’atteindre le fœtus et en particulier son cerveau et sa croissance. Le tabac de son côté est la substance la plus consommée pendant la grossesse et expose à de nombreuses complications notamment un défaut de croissance du fœtus et la survenue d’accidents de fin de grossesse.
Mais de nos jours, du fait de la banalisation de leurs usages notamment chez les femmes en âge de procréer, d’autres substances psychoactives doivent être prises en compte. Le cannabis est le produit illégal le plus largement consommé (1,3 millions d’usagers réguliers), y compris pendant la grossesse. Sa toxicité neurodéveloppementale est souvent banalisée voire ignorée. La cocaïne est la deuxième substance illicite la plus consommée en France (600 000 usagers dans l’année). Par ses effets cardio-vasculaires, elle peut mettre en péril le déroulement de la grossesse et la santé du fœtus. Les opiacés (héroïne et opioïdes) exposent à des complications de la grossesse mais aussi à un risque élevé de syndrome de sevrage du nouveau-né nécessitant une prise en charge spécialisée. Toutes ces situations doivent inciter les professionnels à évaluer également les vulnérabilités psychosociales souvent associées, elles sont elles-mêmes non seulement facteurs d’aggravation mais aussi des facteurs de risques directs sur la grossesse et le devenir de l’enfant. Une attention particulière doit être prêtée au repérage d’éventuels troubles psychiatriques en contexte périnatal.
Dans ce contexte et face à ces risques souvent méconnus ou déniés par les personnes concernées, les enjeux d’amélioration du repérage et d’accès à un accompagnement sont essentiels, d’autant que des prises en charge adaptées et efficaces peuvent être proposées. Outre les spécialistes (gynécologie-obstétrique, addictologie…), du fait de leur proximité avec leurs patients et du fait de leur positionnement en première ligne, les sages-femmes  sont un maillon essentiel du parcours de soins pour repérer ces problèmes et accompagner les personnes et leur entourage. Le repérage peut être aussi fait par d’autres acteurs de proximité qui pourront également jouer un rôle important dans un accompagnement bienveillant.",E-learning,FC,NA (FC),9,"297,00 €","0,00 €",Jean-Michel DELILE (https://www.notion.so/Jean-Michel-DELILE-9315c9d7df5f4f088459d2371908363d?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,9,,,0,,,0,
Repérage et prise en charge de la sclérose en plaques en kinésithérapie du patient âgé de 18 à 40 ans (https://www.notion.so/Rep-rage-et-prise-en-charge-de-la-scl-rose-en-plaques-en-kin-sith-rapie-du-patient-g-de-18-40-an-2001e0168e70802f8144d34d5bce267c?pvs=21),94632525408,Masseur-kinésithérapeute (https://www.notion.so/Masseur-kin-sith-rapeute-7fd63965076f462cab24f32d4c890881?pvs=21),"La sclérose en plaques (SEP) est une maladie neurologique chronique, inflammatoire et démyélinisante du système nerveux central, touchant environ 100 000 personnes en France.  Elle représente la première cause de handicap non traumatique chez l’adulte jeune, avec une prédominance chez les femmes et un pic d’incidence entre 20 et 40 ans.  La SEP se caractérise par une grande variabilité clinique, tant dans ses formes évolutives (rémittente, secondairement progressive ou progressive primaire) que dans les symptômes qu’elle engendre.  Ces derniers peuvent inclure des troubles moteurs, sensitifs, visuels, cognitifs et sphinctériens, qui interagissent souvent pour entraîner une altération majeure des capacités fonctionnelles, des douleurs chroniques et une dépendance accrue.    
La maladie évolue de manière imprévisible, alternant poussées inflammatoires et périodes de rémission, avec une tendance fréquente à l’aggravation progressive.  Ce caractère fluctuant complexifie le suivi thérapeutique et exige une adaptation continue des interventions de rééducation.  En outre, la fatigue, symptôme clé de la SEP, est particulièrement invalidante et contribue à une diminution de la qualité de vie.  La douleur chronique, qu'elle soit neuropathique ou liée à la spasticité, est une manifestation fréquente et significative de la SEP, ayant un impact majeur sur la qualité de vie des patients.  Associée à la spasticité, aux troubles de l’équilibre et à d'autres symptômes, elle impose une prise en charge spécifique et individualisée.    
La kinésithérapie joue un rôle central dans la prise en charge des patients atteints de SEP.  Dès les premiers stades de la maladie, elle vise à maintenir ou améliorer les capacités motrices, prévenir les complications liées à l’inactivité, et soutenir les patients dans leur autonomie quotidienne.  En phase évoluée, la rééducation cible la gestion des séquelles et la compensation des déficits pour retarder au maximum la dépendance fonctionnelle.  Les techniques mobilisées incluent le renforcement musculaire, les exercices d’équilibre, le réentraînement à l’effort et les stratégies de conservation d’énergie, adaptées aux limitations propres à chaque patient.   Dans ce contexte, cette formation vise à fournir aux masseurs-kinésithérapeutes expérimentés les connaissances et compétences nécessaires pour appréhender les spécificités de la SEP, notamment en ce qui concerne l'évaluation et la prise en charge de la douleur chronique, réaliser un repérage précis des symptômes, et élaborer des programmes de rééducation personnalisés et évolutifs.  En s’appuyant sur les recommandations actualisées et des études de cas concrets, elle propose une approche technique approfondie, adaptée aux défis posés par cette pathologie complexe et invalidante.",E-learning,EPP,AC,7,"239,40 €","133,00 €",Valentin AUCLAIR (https://www.notion.so/Valentin-AUCLAIR-1231e0168e708040af61dfed4f453083?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,,,0,
